LocationID,COUNTY,ROUTE,LOCATION,AADT_2002,AADT_2003,AADT_2004,AADT_2005,AADT_2006,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT_2019,AADT_2020,AADT_2021,AADT_2022,AADT_2023
600001809,MECKLENBURG,I-485,BETWEEN I-485 INNER AND NC 49,11578.57142857143,11578.57142857143,11578.57142857143,11578.57142857143,11578.57142857143,11578.57142857143,11578.57142857143,6600.0,5400.0,6800.0,7000.0,6300.0,8500.0,11000.0,15000.0,17000.0,16000.0,13500.0,11578.57142857143,15500.0,16500.0,17000.0
600001810,MECKLENBURG,I-485,BETWEEN NC 49 AND I-485 INNER,5069.2307692307695,5069.2307692307695,5069.2307692307695,5069.2307692307695,5069.2307692307695,5069.2307692307695,5069.2307692307695,4700.0,4700.0,4700.0,5000.0,4800.0,5200.0,5400.0,5700.0,6200.0,5069.2307692307695,4800.0,5069.2307692307695,5000.0,4900.0,4800.0
600001811,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND NC 49,5569.2307692307695,5569.2307692307695,5569.2307692307695,5569.2307692307695,5569.2307692307695,5569.2307692307695,5569.2307692307695,5100.0,5000.0,4900.0,5500.0,5200.0,5800.0,5700.0,6000.0,5900.0,5569.2307692307695,6300.0,5569.2307692307695,5600.0,5800.0,5600.0
600001812,MECKLENBURG,I-485,BETWEEN SR 2802 AND I-485 OUTER,6142.857142857143,6142.857142857143,6142.857142857143,6142.857142857143,6142.857142857143,6142.857142857143,6142.857142857143,3600.0,3700.0,3600.0,4000.0,3900.0,4900.0,6400.0,7000.0,7700.0,7800.0,8300.0,6142.857142857143,7800.0,8000.0,9300.0
600001813,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND SR 2802,3807.1428571428573,3807.1428571428573,3807.1428571428573,3807.1428571428573,3807.1428571428573,3807.1428571428573,3807.1428571428573,3200.0,3800.0,3200.0,3800.0,3600.0,3700.0,3700.0,3800.0,4600.0,4200.0,4100.0,3807.1428571428573,3800.0,3600.0,4200.0
600001814,MECKLENBURG,I-485,BETWEEN SR 2802 AND I-485 INNER,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3200.0,3900.0,3400.0,4100.0,3700.0,3700.0,3700.0,3800.0,4400.0,4200.0,4200.0,3900.0,4000.0,3800.0,4500.0
600001815,MECKLENBURG,I-485,BETWEEN I-485 INNER AND SR 2802,5830.7692307692305,5830.7692307692305,5830.7692307692305,5830.7692307692305,5830.7692307692305,5830.7692307692305,5830.7692307692305,3500.0,3600.0,3400.0,3700.0,3800.0,5100.0,6400.0,6800.0,7400.0,5830.7692307692305,8300.0,5830.7692307692305,7500.0,7500.0,8800.0
600001816,MECKLENBURG,I-485,BETWEEN SR 2805 AND I-485 OUTER,4607.142857142857,4607.142857142857,4607.142857142857,4607.142857142857,4607.142857142857,4607.142857142857,4607.142857142857,3400.0,3800.0,3300.0,4000.0,3400.0,3500.0,4300.0,4900.0,5300.0,5400.0,5400.0,4607.142857142857,5900.0,5900.0,6000.0
600001817,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND SR 2805,3407.1428571428573,3407.1428571428573,3407.1428571428573,3407.1428571428573,3407.1428571428573,3407.1428571428573,3407.1428571428573,2600.0,2300.0,2600.0,3200.0,2800.0,2800.0,3100.0,3600.0,3700.0,4100.0,3900.0,3407.1428571428573,4200.0,4300.0,4500.0
600001818,MECKLENBURG,I-485,BETWEEN SR 2805 AND I-485 INNER,3350.0,3350.0,3350.0,3350.0,3350.0,3350.0,3350.0,2600.0,2300.0,2500.0,2900.0,2800.0,2800.0,3000.0,3500.0,3500.0,4000.0,4000.0,3350.0,4300.0,4200.0,4500.0
